id,clee_denue2026,clee_maryhelen_mh2,nombre_denue2026,nombre_maryhelen_mh2,cambio_clee,cambio_nombre
8803520,21074462112000341010000000U2,21074462112000341000000000U2,SUPER MI SMART SHOP,SUPER MI SMART SHOP,True,False
8950505,21132611142000074111000000U2,21132611142000074000000000U2,TIENDA ESCOLAR LIBERTADORES DE AMERICA,TIENDA ESCOLAR LIBERTADORES DE AMERICA,True,False
8978140,21074339994000011010000000U3,21074339994000011000000000U3,CERERIA SIN NOMBRE,CERERIA SIN NOMBRE,True,False
9051736,21074811499000172001000000U0,21074811499000172000000000U0,TALLER DE MAQUILA,TALLER DE MAQUILA,True,False
9087693,21074311930000017001000000U6,21074311930000017000000000U6,INMOBILIARIA ALPAMAYO,INMOBILIARIA ALPAMAYO,True,False
9107214,21074541610000061001000000U4,21074541610000061000000000U4,QUIMITEXA,QUIMITEXA,True,False
9143937,21074561330000027001000000U5,21074561330000027000000000U5,AJEMEX CONSULTORES,AJEMEX CONSULTORES,True,False
9241011,21074434222000071000000000U7,21074434222000071000000000S7,DISTRIBUIDORA DE PRODUCTOS QUIMICOS ALCHEMIST,DISTRIBUIDORA DE PRODUCTOS QUIMICOS ALCHEMIST,True,False
9241014,21074465919000101001000000U5,21074465919000101000000000S5,BODEGA DE COMERCIO AL POR MENOR DE OTROS ARTICULOS DE USO PERSONAL SIN NOMBRE,BODEGA DE COMERCIO AL POR MENOR DE OTROS ARTICULOS DE USO PERSONAL SIN NOMBRE,True,False
9288127,21074333249000011010000000U8,21074333249000011000000000S8,GRUPO INDUSTRIAL PLAYMONT,GRUPO INDUSTRIAL PLAYMONT,True,False
9297827,21074541610000071010006495S3,21074541610000071000006495S3,AGA,AGA,True,False
9306275,21074461110008801010000000U2,21074461110008801000000000S2,BODEGA SIN NOMBRE,BODEGA SIN NOMBRE,True,False
9321627,21074326160000021001000000U0,21074326160000021000000000U0,SMI PET MEXICO,SMI PET MEXICO,True,False
9327396,21074221111000023001000000U0,21074221111000023000000000U0,SKY EPS SUPPLY,SKY EPS SUPPLY,True,False
9386995,21074561210000017011038713M0,21074561210000017000038713M0,BIG COLA,BIG COLA,True,False
9391539,21074462111000041011005851S0,21074462111000041000005851S0,DRISCOLLS OPERACIONES,DRISCOLLS OPERACIONES,True,False
9394883,21074462112000482101008202S4,21074462112000482000008202S4,OXXO SUC 509JN BLVD AEROPUERTO PBF,OXXO SUC 509JN BLVD AEROPUERTO PBF,True,False
9400768,21074722515000682001003311S9,21074722515000682000003311S9,38700 STARBUCKS PUEBLA AVANZA,38700 PUEBLA AVANZA,True,True
9408328,21114462111001365011002514S6,21114462111001365000002514S6,BODEGA AURRERA EXPRESS LOS SAUCES HUEJOTZINGO 5023,BODEGA AURRERA EXPRESS LOS SAUCES HUEJOTZINGO 5023,True,False
9416016,21074462112000402001008202S2,21074462112000402000008202S2,OXXO SUC 50MF6 XALMIMILULCO CENTRO PBF,OXXO SUC 50MF6 XALMIMILULCO CENTRO PBF,True,False
9416029,21074462112000452001008202S7,21074462112000452000008202S7,OXXO SUC 50OK2 PASEO SEGOVIA PBF,OXXO SUC 50OK2 PASEO SEGOVIA PBF,True,False
9422455,21074462112000442101008202S8,21074462112000442000008202S8,OXXO SUC 50O3J NECTARINA II PBF,OXXO SUC 50O3J NECTARINA II PBF,True,False
9422496,21074462112000472001008202S5,21074462112000472000008202S5,OXXO SUC 505QN SEGOVIA PBF,OXXO SUC 505QN SEGOVIA PBF,True,False
9422558,21074462112000372001008202S7,21074462112000372000008202S7,OXXO SUC 50J4X PLAZA WAYAK PBF,OXXO SUC 50J4X PLAZA WAYAK PBF,True,False
9455889,21074462112000432101008202S9,21074462112000432000008202S9,OXXO SUC 50XS6 HDA LOS SAUCES PBF,OXXO SUC 50XS6 HDA LOS SAUCES PBF,True,False
9459294,21074562111000031001003818S0,21074562111000031000003818S0,MEDAM PUEBLA,MEDAM PUEBLA,True,False
9462545,21074464111000775111056561S1,21074464111000775000056561S1,CEDI PHARMA TYCSA,CEDI PHARMA TYCSA,True,False
9464581,21074468413000023001001051S2,21074468413000023000001051S2,EXTRA GAS ESTACION DE CARBURACION SANTA ANA,EXTRA GAS ESTACION DE CARBURACION SANTA ANA,True,False
9469541,21074462112000492001008202S3,21074462112000492000008202S3,OXXO SUC 509WP PUEBLA AVANZA PBI,OXXO SUC 509WP PUEBLA AVANZA PBI,True,False
9594010,21074722515000911000000000U2,21074722515000911000000000U2,"CAFETER�AS, FUENTES DE SODAS, NEVER�AS, REFRESQUER�AS Y SIMILARES SIN NOMBRE",YINAI BERENICE PI�A DIAZ,False,True
9794570,21074431160000031000000000U6,21074431160000031000000000S6,BODEGA DE LACTEOS SUPREMO BUENA AVENTURA,BODEGA DE LACTEOS SUPREMO BUENA AVENTURA,True,False
