id,clee,nombre_de_la_unidad_economica,codigo_de_la_clase_actividad_scian,latitud,longitud,source_path,source_file,source_folder,layer_type,texto_busqueda,codigo_scian_detectado,palabras_clave_detectadas,categoria_relevancia_ambiental,nota_metodologica
10940394,21074315225000211000000000U6,CONFECCIONES DE ROPA PALACIOS,315225,19.1530422,-98.4088014,data\raw\agebs\huejotzingo\INEGI_DENUE_.shp,INEGI_DENUE_.shp,agebs\huejotzingo,denue,21074315225000211000000000u6 confecciones de ropa palacios 315225 data\raw\agebs\huejotzingo\inegi_denue_.shp inegi_denue_.shp agebs\huejotzingo denue,315225,confeccion,media_relevancia_ambiental,"Priorizacion preliminar por produccion, confeccion, maquila, acabado o lavado textil; se excluye comercio de prendas y no implica evidencia de contaminacion directa."
10941241,21074812210000781000000000U8,LAVANDERIA BURBUJAS,812210,19.17848924,-98.38776675,data\raw\agebs\huejotzingo\INEGI_DENUE_.shp,INEGI_DENUE_.shp,agebs\huejotzingo,denue,21074812210000781000000000u8 lavanderia burbujas 812210 data\raw\agebs\huejotzingo\inegi_denue_.shp inegi_denue_.shp agebs\huejotzingo denue,812210,lavanderia,alta_relevancia_ambiental,"Priorizacion preliminar por produccion, confeccion, maquila, acabado o lavado textil; se excluye comercio de prendas y no implica evidencia de contaminacion directa."
11054153,21074315229002551000000000U5,TALLER DE MAQUILA SIN NOMBRE,315229,19.16289243,-98.40507247,data\raw\agebs\huejotzingo\INEGI_DENUE_.shp,INEGI_DENUE_.shp,agebs\huejotzingo,denue,21074315229002551000000000u5 taller de maquila sin nombre 315229 data\raw\agebs\huejotzingo\inegi_denue_.shp inegi_denue_.shp agebs\huejotzingo denue,315229,maquila,media_relevancia_ambiental,"Priorizacion preliminar por produccion, confeccion, maquila, acabado o lavado textil; se excluye comercio de prendas y no implica evidencia de contaminacion directa."
11085776,21074812210000721000000000U4,LAUNDRY BOUTIQUE,812210,19.17378594,-98.3833149,data\raw\agebs\huejotzingo\INEGI_DENUE_.shp,INEGI_DENUE_.shp,agebs\huejotzingo,denue,21074812210000721000000000u4 laundry boutique 812210 data\raw\agebs\huejotzingo\inegi_denue_.shp inegi_denue_.shp agebs\huejotzingo denue,812210,laundry,alta_relevancia_ambiental,"Priorizacion preliminar por produccion, confeccion, maquila, acabado o lavado textil; se excluye comercio de prendas y no implica evidencia de contaminacion directa."
11255589,21074812210000961000000000U6,LAVANDERIA NATALI,812210,19.14298651,-98.41374356,data\raw\agebs\huejotzingo\INEGI_DENUE_.shp,INEGI_DENUE_.shp,agebs\huejotzingo,denue,21074812210000961000000000u6 lavanderia natali 812210 data\raw\agebs\huejotzingo\inegi_denue_.shp inegi_denue_.shp agebs\huejotzingo denue,812210,lavanderia,alta_relevancia_ambiental,"Priorizacion preliminar por produccion, confeccion, maquila, acabado o lavado textil; se excluye comercio de prendas y no implica evidencia de contaminacion directa."
11273322,21074315229002401000000000U3,CONFECCIONES DAGAZA,315229,19.14274321,-98.41486508,data\raw\agebs\huejotzingo\INEGI_DENUE_.shp,INEGI_DENUE_.shp,agebs\huejotzingo,denue,21074315229002401000000000u3 confecciones dagaza 315229 data\raw\agebs\huejotzingo\inegi_denue_.shp inegi_denue_.shp agebs\huejotzingo denue,315229,confeccion,media_relevancia_ambiental,"Priorizacion preliminar por produccion, confeccion, maquila, acabado o lavado textil; se excluye comercio de prendas y no implica evidencia de contaminacion directa."
11315354,21074315225000231000000000U4,SASTRERIA SIN NOMBRE,315225,19.15143593,-98.40374347,data\raw\agebs\huejotzingo\INEGI_DENUE_.shp,INEGI_DENUE_.shp,agebs\huejotzingo,denue,21074315225000231000000000u4 sastreria sin nombre 315225 data\raw\agebs\huejotzingo\inegi_denue_.shp inegi_denue_.shp agebs\huejotzingo denue,315225,sastreria,media_relevancia_ambiental,"Priorizacion preliminar por produccion, confeccion, maquila, acabado o lavado textil; se excluye comercio de prendas y no implica evidencia de contaminacion directa."
11446479,21074812210000791000000000U7,LAVANDERIA FAST & CLEAN,812210,19.16140369,-98.4095095,data\raw\agebs\huejotzingo\INEGI_DENUE_.shp,INEGI_DENUE_.shp,agebs\huejotzingo,denue,21074812210000791000000000u7 lavanderia fast & clean 812210 data\raw\agebs\huejotzingo\inegi_denue_.shp inegi_denue_.shp agebs\huejotzingo denue,812210,lavanderia,alta_relevancia_ambiental,"Priorizacion preliminar por produccion, confeccion, maquila, acabado o lavado textil; se excluye comercio de prendas y no implica evidencia de contaminacion directa."
11484003,21074315229002851000000000U9,TALLER DE COSTURA SIN NOMBRE,315229,19.1629464,-98.41191436,data\raw\agebs\huejotzingo\INEGI_DENUE_.shp,INEGI_DENUE_.shp,agebs\huejotzingo,denue,21074315229002851000000000u9 taller de costura sin nombre 315229 data\raw\agebs\huejotzingo\inegi_denue_.shp inegi_denue_.shp agebs\huejotzingo denue,315229,costura,media_relevancia_ambiental,"Priorizacion preliminar por produccion, confeccion, maquila, acabado o lavado textil; se excluye comercio de prendas y no implica evidencia de contaminacion directa."
11536634,21074314991000281000000000U7,BORDADOS GRAN DANES,314991,19.17467651,-98.38896671,data\raw\agebs\huejotzingo\INEGI_DENUE_.shp,INEGI_DENUE_.shp,agebs\huejotzingo,denue,21074314991000281000000000u7 bordados gran danes 314991 data\raw\agebs\huejotzingo\inegi_denue_.shp inegi_denue_.shp agebs\huejotzingo denue,314991,bordado,media_relevancia_ambiental,"Priorizacion preliminar por produccion, confeccion, maquila, acabado o lavado textil; se excluye comercio de prendas y no implica evidencia de contaminacion directa."
