id,clee,nombre_de_la_unidad_economica,codigo_de_la_clase_actividad_scian,localidad,municipio,etapa_productiva_sugerida,distancia_hidrografia_m,_id_key,nombre_mapa,comparacion,fuente_mapa
3273813,21132315229000691010000000U7,LAVANDERIA SIN NOMBRE,313310,San Martin Texmelucan,San Martin Texmelucan,lavanderia_industrial,644.988036568674,3273813,LAVANDERIA SIN NOMBRE,solo_universo_actual,universo_actual
3325286,21132812210000521000000000U4,LAVANDERIA LULU,812210,San Martin Texmelucan,San Martin Texmelucan,lavanderia_industrial,408.969466203585,3325286,LAVANDERIA LULU,solo_universo_actual,universo_actual
7583002,21132812210000711000000000U1,LAVANDERIA CONY,812210,San Martin Texmelucan,San Martin Texmelucan,lavanderia_industrial,376.15167917432734,7583002,LAVANDERIA CONY,solo_universo_actual,universo_actual
7726723,29019812210000232001000000U9,MELASA LAVADO Y PROCESO SECO,812210,San Martin Texmelucan,San Martin Texmelucan,lavado_deslavado,67.64718883838799,7726723,MELASA LAVADO Y PROCESO SECO,solo_universo_actual,universo_actual
8125958,29019812210000321010000000U0,LAVANDERIA FLORES,313310,San Martin Texmelucan,San Martin Texmelucan,lavanderia_industrial,587.3262381087603,8125958,LAVANDERIA FLORES,solo_universo_actual,universo_actual
8125959,29019315229000811000000000U2,MAQUILA DE PANTALON DE MEZCLILLA,315229,San Martin Texmelucan,San Martin Texmelucan,fabricacion_mezclilla,479.7937189953456,8125959,MAQUILA DE PANTALON DE MEZCLILLA,solo_universo_actual,universo_actual
8126134,29019315229000841010000000U9,MAQUILA PANTALON DE MEZCLILLA DESLAVADO,313310,San Martin Texmelucan,San Martin Texmelucan,lavado_deslavado,277.6758097941454,8126134,MAQUILA PANTALON DE MEZCLILLA DESLAVADO,solo_universo_actual,universo_actual
8950452,21132812210000911000000000U7,LAVANDERIA CASCADA,812210,San Martin Texmelucan,San Martin Texmelucan,lavanderia_industrial,421.5151402191334,8950452,LAVANDERIA CASCADA,solo_universo_actual,universo_actual
9669717,21132532210000021000000000U4,LAVANDERIATEXTIL,532210,San Martin Texmelucan,San Martin Texmelucan,lavanderia_industrial,266.2255126408986,9669717,LAVANDERIATEXTIL,solo_universo_actual,universo_actual
9801137,29019315229000941000000000U7,MAQUILA DE PANTALON DE MEZCLILLA,315229,San Martin Texmelucan,San Martin Texmelucan,fabricacion_mezclilla,208.04590254244556,9801137,MAQUILA DE PANTALON DE MEZCLILLA,solo_universo_actual,universo_actual
10046052,21132812210001191000000000U5,LAVANDERIA CANDY,812210,San Martin Texmelucan,San Martin Texmelucan,lavanderia_industrial,141.3190076422797,10046052,LAVANDERIA CANDY,solo_universo_actual,universo_actual
10170764,21132812210001471000000000U1,LAVANDERIA LAVA FRESH,812210,San Martin Texmelucan,San Martin Texmelucan,lavanderia_industrial,344.78091924760713,10170764,LAVANDERIA LAVA FRESH,solo_universo_actual,universo_actual
10240997,29019812210000481000000000U2,LAVANDERIA EXPRES,812210,San Martin Texmelucan,San Martin Texmelucan,lavanderia_industrial,67.64718883838799,10240997,LAVANDERIA EXPRES,solo_universo_actual,universo_actual
10534718,21132812210001311000000000U9,LAVANDERIA SIN NOMBRE,812210,San Martin Texmelucan,San Martin Texmelucan,lavanderia_industrial,100.55480868094538,10534718,LAVANDERIA SIN NOMBRE,solo_universo_actual,universo_actual
10760884,29019812210000431000000000U7,LAVANDERIA BURBUJAS,812210,San Martin Texmelucan,San Martin Texmelucan,lavanderia_industrial,28.541544186164135,10760884,LAVANDERIA BURBUJAS,solo_universo_actual,universo_actual
10796413,21132812210001521000000000U3,LAVANDERIA GREMMIX,812210,San Martin Texmelucan,San Martin Texmelucan,lavanderia_industrial,251.59930868150664,10796413,LAVANDERIA GREMMIX,solo_universo_actual,universo_actual
10815667,29019315229001611000000000U5,MAQUILA DE PANTALON DE MEZCLILLA SIN NOMBRE,315229,San Martin Texmelucan,San Martin Texmelucan,fabricacion_mezclilla,12.675830703052847,10815667,MAQUILA DE PANTALON DE MEZCLILLA SIN NOMBRE,solo_universo_actual,universo_actual
10913117,29019315229001671000000000U9,MAQUILA DE PANTALON DE MEZCLILLA,315229,San Martin Texmelucan,San Martin Texmelucan,fabricacion_mezclilla,740.0264249081165,10913117,MAQUILA DE PANTALON DE MEZCLILLA,solo_universo_actual,universo_actual
11041629,21132812210001271000000000U5,LA LAVANDERIA SIN NOMBRE,812210,San Martin Texmelucan,San Martin Texmelucan,lavanderia_industrial,652.7865004224084,11041629,LA LAVANDERIA SIN NOMBRE,solo_universo_actual,universo_actual
11108879,21132812210001501000000000U5,LAVANDERIA SIN NOMBRE,812210,San Martin Texmelucan,San Martin Texmelucan,lavanderia_industrial,225.66514644828513,11108879,LAVANDERIA SIN NOMBRE,solo_universo_actual,universo_actual
11303863,21132812210001561000000000U9,LAVANDERIA LA BURBUJA DORADA,812210,San Martin Texmelucan,San Martin Texmelucan,lavanderia_industrial,51.35541618168324,11303863,LAVANDERIA LA BURBUJA DORADA,solo_universo_actual,universo_actual
11333651,29019315229001591000000000U9,MAQUILA DE PANTALON DE MEZCLILLA,315229,San Martin Texmelucan,San Martin Texmelucan,fabricacion_mezclilla,593.5500768526898,11333651,MAQUILA DE PANTALON DE MEZCLILLA,solo_universo_actual,universo_actual
11430400,21132812210001161000000000U8,SERVICLEAN,812210,San Martin Texmelucan,San Martin Texmelucan,lavanderia_industrial,268.7152505527339,11430400,SERVICLEAN,solo_universo_actual,universo_actual
11564100,21132812210001651000000000U8,LAVANDERIA JAZMIN,812210,San Martin Texmelucan,San Martin Texmelucan,lavanderia_industrial,368.8469385234593,11564100,LAVANDERIA JAZMIN,solo_universo_actual,universo_actual
3264041,21132812210000031000000000U4,LAVANDERIA LAVATEX,812210,San Martin Texmelucan,San Martin Texmelucan,lavanderia_industrial,208.04590254244556,3264041,LAVANDERIA LAVATEX,solo_universo_actual,universo_actual
3267977,21132812210000261000000000U7,LAVANDERIA MORMAC,812210,San Martin Texmelucan,San Martin Texmelucan,lavanderia_industrial,282.2679521293506,3267977,LAVANDERIA MORMAC,solo_universo_actual,universo_actual
3268936,21132812210000491000000000U0,LAVANDERIA CRISTAL,812210,San Martin Texmelucan,San Martin Texmelucan,lavanderia_industrial,1.1582925523799366,3268936,LAVANDERIA CRISTAL,solo_universo_actual,universo_actual
3273826,21132812210000332000000000U6,LAVANDERIA SIN NOMBRE,812210,San Martin Texmelucan,San Martin Texmelucan,lavanderia_industrial,370.18066885613314,3273826,LAVANDERIA SIN NOMBRE,solo_universo_actual,universo_actual
3323201,21132812210000471000000000U2,LAVANDERIA LAVA FAST,812210,San Martin Texmelucan,San Martin Texmelucan,lavanderia_industrial,195.23018543683887,3323201,LAVANDERIA LAVA FAST,solo_universo_actual,universo_actual
3323717,21132812210000431000000000U6,TINTORERIA Y LAVANDERIA AMERICAN,812210,San Martin Texmelucan,San Martin Texmelucan,lavanderia_industrial,201.95136894474643,3323717,TINTORERIA Y LAVANDERIA AMERICAN,solo_universo_actual,universo_actual
4185221,29019812210000212002000000U1,LAVANDERIA,812210,San Martin Texmelucan,San Martin Texmelucan,lavanderia_industrial,202.08583811084117,4185221,LAVANDERIA,solo_universo_actual,universo_actual
7583005,21132812210000721000000000U0,HIPERCLEAN,812210,San Martin Texmelucan,San Martin Texmelucan,lavanderia_industrial,184.2610883111232,7583005,HIPERCLEAN,solo_universo_actual,universo_actual
8077338,21132812210000961000000000U2,LAVANDERIAS DE AUTOSERVICIO DOLPHIN CLEAN,812210,San Martin Texmelucan,San Martin Texmelucan,lavanderia_industrial,543.2283977394627,8077338,LAVANDERIAS DE AUTOSERVICIO DOLPHIN CLEAN,solo_universo_actual,universo_actual
8119947,21132812210001031000000000U3,LAVANDERIA LOS VOLCANES,812210,San Martin Texmelucan,San Martin Texmelucan,lavanderia_industrial,394.70253057607266,8119947,LAVANDERIA LOS VOLCANES,solo_universo_actual,universo_actual
8120060,21132812210001041000000000U2,TINTORERIA Y LAVANDERIA YAÑEZ,812210,San Martin Texmelucan,San Martin Texmelucan,lavanderia_industrial,495.1096903700895,8120060,TINTORERIA Y LAVANDERIA YAÑEZ,solo_universo_actual,universo_actual
8125899,29019315229000791000000000U6,MAQUILA DE PANTALON DE MEZCLILLA,315229,San Martin Texmelucan,San Martin Texmelucan,fabricacion_mezclilla,180.61540217021454,8125899,MAQUILA DE PANTALON DE MEZCLILLA,solo_universo_actual,universo_actual
8126068,29019315229000831001000000U0,MAQUILA DE PANTALON DE MEZCLILLA SIN NOMBRE,315229,San Martin Texmelucan,San Martin Texmelucan,fabricacion_mezclilla,272.2035991005979,8126068,MAQUILA DE PANTALON DE MEZCLILLA SIN NOMBRE,solo_universo_actual,universo_actual
8126132,29019812210000361010000000U6,LAVANDERIA SIN NOMBRE,313310,San Martin Texmelucan,San Martin Texmelucan,lavanderia_industrial,698.7030552584596,8126132,LAVANDERIA SIN NOMBRE,solo_universo_actual,universo_actual
8126301,29019315229000902001000000U9,MAQUILA Y FABRICACION DE PANTALON DE MEZCLILLA,315229,San Martin Texmelucan,San Martin Texmelucan,fabricacion_mezclilla,190.1510944592448,8126301,MAQUILA Y FABRICACION DE PANTALON DE MEZCLILLA,solo_universo_actual,universo_actual
8126350,29019313310000041001000000U6,LAVANDERIA Y TINTORERIA ECOLAK,313310,San Martin Texmelucan,San Martin Texmelucan,lavanderia_industrial,511.21180262629287,8126350,LAVANDERIA Y TINTORERIA ECOLAK,solo_universo_actual,universo_actual
8272002,21132812210000891000000000U1,LAVANDERIA KADILO,812210,San Martin Texmelucan,San Martin Texmelucan,lavanderia_industrial,385.91486200577083,8272002,LAVANDERIA KADILO,solo_universo_actual,universo_actual
9398880,29015812210000113000053895S9,LAVARTEX TLAXCALA,812210,San Martin Texmelucan,San Martin Texmelucan,lavanderia_industrial,265.95149923315563,9398880,LAVARTEX TLAXCALA,solo_universo_actual,universo_actual
9541793,21132812210001461000000000U2,LAVANDERIA,812210,San Martin Texmelucan,San Martin Texmelucan,lavanderia_industrial,466.3631304842407,9541793,LAVANDERIA,solo_universo_actual,universo_actual
9549827,21132812210001301000000000U0,LAVANDERIA BURBU POP,812210,San Martin Texmelucan,San Martin Texmelucan,lavanderia_industrial,282.1301157868712,9549827,LAVANDERIA BURBU POP,solo_universo_actual,universo_actual
9551535,29019315229001091000000000U0,MAQUILA DE PANTALON DE MEZCLILLA SIN NOMBRE,315229,San Martin Texmelucan,San Martin Texmelucan,fabricacion_mezclilla,903.654733216334,9551535,MAQUILA DE PANTALON DE MEZCLILLA SIN NOMBRE,solo_universo_actual,universo_actual
9626261,21132465311003511000000000U8,GLORIA LAVANDERIA,812210,San Martin Texmelucan,San Martin Texmelucan,lavanderia_industrial,88.23295215853511,9626261,GLORIA LAVANDERIA,solo_universo_actual,universo_actual
9699201,21143812210000141000000000U8,LAVANDERIA GARRITAS CLEAN,812210,San Martin Texmelucan,San Martin Texmelucan,lavanderia_industrial,276.5975033369674,9699201,LAVANDERIA GARRITAS CLEAN,solo_universo_actual,universo_actual
9713653,29019315229001501000000000U8,MAQUILA DE PANTALON DE MEZCLILLA SIN NOMBRE,315229,San Martin Texmelucan,San Martin Texmelucan,fabricacion_mezclilla,169.95486840742853,9713653,MAQUILA DE PANTALON DE MEZCLILLA SIN NOMBRE,solo_universo_actual,universo_actual
9738307,21132812210001231000000000U9,LAVANDERIA JOBS,812210,San Martin Texmelucan,San Martin Texmelucan,lavanderia_industrial,304.0976935828767,9738307,LAVANDERIA JOBS,solo_universo_actual,universo_actual
9758014,29019315229001151000000000U2,MAQUILA DE PANTALON DE MEZCLILLA SIN NOMBRE,315229,San Martin Texmelucan,San Martin Texmelucan,fabricacion_mezclilla,385.91486200577083,9758014,MAQUILA DE PANTALON DE MEZCLILLA SIN NOMBRE,solo_universo_actual,universo_actual
9918502,29019812210000491000000000U1,SERVICIO DE LAVANDERIA EL TIBU,812210,San Martin Texmelucan,San Martin Texmelucan,lavanderia_industrial,170.75149555634894,9918502,SERVICIO DE LAVANDERIA EL TIBU,solo_universo_actual,universo_actual
9960329,21132812210001632000000000U8,LAVANDERIA ALEXANDRA,812210,San Martin Texmelucan,San Martin Texmelucan,lavanderia_industrial,82.96601216057526,9960329,LAVANDERIA ALEXANDRA,solo_universo_actual,universo_actual
9978507,21132812210001391000000000U1,LAVANDERIA MR BUBBLES,812210,San Martin Texmelucan,San Martin Texmelucan,lavanderia_industrial,249.69246141682987,9978507,LAVANDERIA MR BUBBLES,solo_universo_actual,universo_actual
9999506,29019812210000451000000000U5,LAVANDERIA DE PANTALON DE MEZCLILLA,812210,San Martin Texmelucan,San Martin Texmelucan,lavanderia_industrial,115.45728833362429,9999506,LAVANDERIA DE PANTALON DE MEZCLILLA,solo_universo_actual,universo_actual
10031564,29019315229001351000000000U8,FABRICACION DE PANTALON DE MEZCLILLA SIN NOMBRE,315229,San Martin Texmelucan,San Martin Texmelucan,fabricacion_mezclilla,444.92297806997465,10031564,FABRICACION DE PANTALON DE MEZCLILLA SIN NOMBRE,solo_universo_actual,universo_actual
10154898,21143812210000061000000000U8,LAVANDERIA Y TINTORERIA CRUZ,812210,San Martin Texmelucan,San Martin Texmelucan,lavanderia_industrial,420.20231595846474,10154898,LAVANDERIA Y TINTORERIA CRUZ,solo_universo_actual,universo_actual
10243314,29019315123000061000000000U9,MAQUILA DE PANTALON DE MEZCLILLA,315229,San Martin Texmelucan,San Martin Texmelucan,fabricacion_mezclilla,304.8406834181382,10243314,MAQUILA DE PANTALON DE MEZCLILLA,solo_universo_actual,universo_actual
10373718,21132812210001611000000000U2,LAVANDERIA BRILLANTE,812210,San Martin Texmelucan,San Martin Texmelucan,lavanderia_industrial,590.8948834460585,10373718,LAVANDERIA BRILLANTE,solo_universo_actual,universo_actual
10426855,29019812210000401000000000U0,LAVANDERIA LA TORTUGA,812210,San Martin Texmelucan,San Martin Texmelucan,lavanderia_industrial,650.4937352291363,10426855,LAVANDERIA LA TORTUGA,solo_universo_actual,universo_actual
10629510,29019313310000122000000000U4,LAVANDERIA SAN MIGUEL,313310,San Martin Texmelucan,San Martin Texmelucan,lavanderia_industrial,430.7070684827034,10629510,LAVANDERIA SAN MIGUEL,solo_universo_actual,universo_actual
10701786,21132812210001341000000000U6,LAVANDERIA SIN NOMBRE,812210,San Martin Texmelucan,San Martin Texmelucan,lavanderia_industrial,385.91486200577083,10701786,LAVANDERIA SIN NOMBRE,solo_universo_actual,universo_actual
10881479,29019315229001701000000000U4,MAQUILA DE PANTALON DE MEZCLILLA,315229,San Martin Texmelucan,San Martin Texmelucan,fabricacion_mezclilla,562.7614522549773,10881479,MAQUILA DE PANTALON DE MEZCLILLA,solo_universo_actual,universo_actual
11154016,21143812210000071000000000U7,ACTIVIDADES DENTRO DE LA VIVIENDA,812210,San Martin Texmelucan,San Martin Texmelucan,lavanderia_industrial,378.7943183836415,11154016,ACTIVIDADES DENTRO DE LA VIVIENDA,solo_universo_actual,universo_actual
11341985,21132812210001351000000000U5,AUXILIAR TINTORERIA Y LAVANDERIA YAÑEZ,812210,San Martin Texmelucan,San Martin Texmelucan,lavanderia_industrial,21.67254352432542,11341985,AUXILIAR TINTORERIA Y LAVANDERIA YAÑEZ,solo_universo_actual,universo_actual
11429037,21132812210001211000000000U1,LAVANDERIA MINY,812210,San Martin Texmelucan,San Martin Texmelucan,lavanderia_industrial,130.05761110479125,11429037,LAVANDERIA MINY,solo_universo_actual,universo_actual
3260147,21132541110000331010000000U8,LAVANDERIA ECOTEX,812210,San Martin Texmelucan,San Martin Texmelucan,lavanderia_industrial,278.3470359180488,3260147,LAVANDERIA ECOTEX,solo_universo_actual,universo_actual
3260321,21132812210000061000000000U1,LAVANDERIA LA ESTRELLA,812210,San Martin Texmelucan,San Martin Texmelucan,lavanderia_industrial,397.25101389018613,3260321,LAVANDERIA LA ESTRELLA,solo_universo_actual,universo_actual
3265607,21132812210000311000000000U0,TINTORERIA AMERICAN,812210,San Martin Texmelucan,San Martin Texmelucan,lavanderia_industrial,434.88980179020854,3265607,TINTORERIA AMERICAN,solo_universo_actual,universo_actual
3265664,21132812210000271000000000U6,TINTORERIAS Y LAVANDERIAS CABRERA,812210,San Martin Texmelucan,San Martin Texmelucan,lavanderia_industrial,385.91486200577083,3265664,TINTORERIAS Y LAVANDERIAS CABRERA,solo_universo_actual,universo_actual
3267098,21132812210000201000000000U3,TINTORERIA AMERICAN,812210,San Martin Texmelucan,San Martin Texmelucan,lavanderia_industrial,536.7388653053159,3267098,TINTORERIA AMERICAN,solo_universo_actual,universo_actual
3267105,21132812210000161000000000U9,LAVANDERIA AMERICAN,812210,San Martin Texmelucan,San Martin Texmelucan,lavanderia_industrial,521.519523133167,3267105,LAVANDERIA AMERICAN,solo_universo_actual,universo_actual
3268785,21132722219001371020000000U3,LAVANDERIA ESPINOZA,812210,San Martin Texmelucan,San Martin Texmelucan,lavanderia_industrial,1129.541455517534,3268785,LAVANDERIA ESPINOZA,solo_universo_actual,universo_actual
