id,clee,nombre_de_la_unidad_economica,codigo_de_la_clase_actividad_scian,latitud,longitud,source_path,source_file,source_folder,layer_type,texto_busqueda,codigo_scian_detectado
7742794,21074811192000351000000000U1,AUTOLAVADO CLIKMASTER,811192,19.2115938,-98.37830222,data\raw\agebs\xalmimilulco\INEGI_DENUE_.shp,INEGI_DENUE_.shp,agebs\xalmimilulco,denue,21074811192000351000000000u1 autolavado clikmaster 811192 data\raw\agebs\xalmimilulco\inegi_denue_.shp inegi_denue_.shp agebs\xalmimilulco denue,811192
9718863,21074463113000601000000000U6,BORDADOS ETICOSA,463113,19.21464833,-98.37997004,data\raw\agebs\xalmimilulco\INEGI_DENUE_.shp,INEGI_DENUE_.shp,agebs\xalmimilulco,denue,21074463113000601000000000u6 bordados eticosa 463113 data\raw\agebs\xalmimilulco\inegi_denue_.shp inegi_denue_.shp agebs\xalmimilulco denue,463113
10406662,21074811192000531000000000U8,AUTO LAVADO EL GANSITO,811192,19.20431467,-98.38419147,data\raw\agebs\xalmimilulco\INEGI_DENUE_.shp,INEGI_DENUE_.shp,agebs\xalmimilulco,denue,21074811192000531000000000u8 auto lavado el gansito 811192 data\raw\agebs\xalmimilulco\inegi_denue_.shp inegi_denue_.shp agebs\xalmimilulco denue,811192
11643427,21074811192000101000000000U0,AUTOLAVADO SIN NOMBRE,811192,19.20859166,-98.38608285,data\raw\agebs\xalmimilulco\INEGI_DENUE_.shp,INEGI_DENUE_.shp,agebs\xalmimilulco,denue,21074811192000101000000000u0 autolavado sin nombre 811192 data\raw\agebs\xalmimilulco\inegi_denue_.shp inegi_denue_.shp agebs\xalmimilulco denue,811192
11743728,21074463111000131000000000U8,TEXTILES MATEX,463111,19.21533559,-98.37689675,data\raw\agebs\xalmimilulco\INEGI_DENUE_.shp,INEGI_DENUE_.shp,agebs\xalmimilulco,denue,21074463111000131000000000u8 textiles matex 463111 data\raw\agebs\xalmimilulco\inegi_denue_.shp inegi_denue_.shp agebs\xalmimilulco denue,463111
3428292,21074811192000251000000000U3,AUTOLAVADO SANFER,811192,19.2133,-98.37754885,data\raw\agebs\xalmimilulco\INEGI_DENUE_.shp,INEGI_DENUE_.shp,agebs\xalmimilulco,denue,21074811192000251000000000u3 autolavado sanfer 811192 data\raw\agebs\xalmimilulco\inegi_denue_.shp inegi_denue_.shp agebs\xalmimilulco denue,811192
8777373,21074311830001791010000000U7,TEXTILERA,463111,19.2121541,-98.3781502,data\raw\agebs\xalmimilulco\INEGI_DENUE_.shp,INEGI_DENUE_.shp,agebs\xalmimilulco,denue,21074311830001791010000000u7 textilera 463111 data\raw\agebs\xalmimilulco\inegi_denue_.shp inegi_denue_.shp agebs\xalmimilulco denue,463111
9572977,21074811192000611000000000U8,AUTO LAVADO CHECOS,811192,19.21324455,-98.37757456,data\raw\agebs\xalmimilulco\INEGI_DENUE_.shp,INEGI_DENUE_.shp,agebs\xalmimilulco,denue,21074811192000611000000000u8 auto lavado checos 811192 data\raw\agebs\xalmimilulco\inegi_denue_.shp inegi_denue_.shp agebs\xalmimilulco denue,811192
10752388,21074463211002121000000000U5,LEURIS LITIO JEANS HERNANDEZ,463211,19.21428314,-98.3784647,data\raw\agebs\xalmimilulco\INEGI_DENUE_.shp,INEGI_DENUE_.shp,agebs\xalmimilulco,denue,21074463211002121000000000u5 leuris litio jeans hernandez 463211 data\raw\agebs\xalmimilulco\inegi_denue_.shp inegi_denue_.shp agebs\xalmimilulco denue,463211
11404585,21074811192000541000000000U7,AUTOLAVADO YURITZY,811192,19.21045645,-98.37764197,data\raw\agebs\xalmimilulco\INEGI_DENUE_.shp,INEGI_DENUE_.shp,agebs\xalmimilulco,denue,21074811192000541000000000u7 autolavado yuritzy 811192 data\raw\agebs\xalmimilulco\inegi_denue_.shp inegi_denue_.shp agebs\xalmimilulco denue,811192
11821013,21074463111000141000000000U7,TEXTILES MATEX,463111,19.21000767,-98.37790537,data\raw\agebs\xalmimilulco\INEGI_DENUE_.shp,INEGI_DENUE_.shp,agebs\xalmimilulco,denue,21074463111000141000000000u7 textiles matex 463111 data\raw\agebs\xalmimilulco\inegi_denue_.shp inegi_denue_.shp agebs\xalmimilulco denue,463111
