_id_key,id,clee,nombre_de_la_unidad_economica,codigo_de_la_clase_actividad_scian,localidad,categoria_foco_textil,senales_foco_textil,comparacion_mh_foco,fuente_comparacion,nombre_mapa,Name,DENUE,ID DENUE
9890180,9890180,21074315229001431000000000U1,MAQUILA,315229,Santa Ana Xalmimilulco,maquila_confeccion_textil,maquila/confeccion; cercania <=250m hidrografia,foco_y_mh,foco_textil,MAQUILA,,,
11528292,11528292,21074315229002771000000000U9,MAQUILA,315229,Santa Ana Xalmimilulco,maquila_confeccion_textil,maquila/confeccion,foco_y_mh,foco_textil,MAQUILA,,,
10494863,10494863,21074315229002341000000000U1,MAQUILA,315229,Santa Ana Xalmimilulco,maquila_confeccion_textil,maquila/confeccion,foco_y_mh,foco_textil,MAQUILA,,,
10151046,10151046,21074315223000641000000000U9,MAQUILA,315229,Santa Ana Xalmimilulco,maquila_confeccion_textil,maquila/confeccion,solo_foco,foco_textil,MAQUILA,,,
10016740,10016740,21074315229002861000000000U8,MAQUILA,315229,Santa Ana Xalmimilulco,maquila_confeccion_textil,maquila/confeccion,solo_foco,foco_textil,MAQUILA,,,
10543399,10543399,21074315223000251000000000U7,MAQUILA,315229,Santa Ana Xalmimilulco,maquila_confeccion_textil,maquila/confeccion,solo_foco,foco_textil,MAQUILA,,,
11676707,11676707,21074315229002371000000000U8,MAQUILA,315229,Santa Ana Xalmimilulco,maquila_confeccion_textil,maquila/confeccion,solo_foco,foco_textil,MAQUILA,,,
11355400,11355400,21074315223000121000000000U2,MAQUILA,315223,Santa Ana Xalmimilulco,maquila_confeccion_textil,maquila/confeccion,solo_foco,foco_textil,MAQUILA,,,
11230023,11230023,21074315223000161000000000U8,MAQUILA,315223,Santa Ana Xalmimilulco,maquila_confeccion_textil,maquila/confeccion,solo_foco,foco_textil,MAQUILA,,,
8089321,8089321,21074313310000081010000000U5,MAQUILA,315229,Santa Ana Xalmimilulco,maquila_confeccion_textil,maquila/confeccion,solo_foco,foco_textil,MAQUILA,,,
11461415,11461415,21074315223000462000000000U0,MAQUILA,315223,Santa Ana Xalmimilulco,maquila_confeccion_textil,maquila/confeccion,solo_foco,foco_textil,MAQUILA,,,
11666606,11666606,21074315229002781000000000U8,MAQUILA,315229,Santa Ana Xalmimilulco,maquila_confeccion_textil,maquila/confeccion,solo_foco,foco_textil,MAQUILA,,,
11255997,11255997,21074315223000811000000000U8,MAQUILA,315229,Santa Ana Xalmimilulco,maquila_confeccion_textil,maquila/confeccion,solo_foco,foco_textil,MAQUILA,,,
11273664,11273664,21074315223000141000000000U0,MAQUILA,315229,Santa Ana Xalmimilulco,maquila_confeccion_textil,maquila/confeccion,solo_foco,foco_textil,MAQUILA,,,
