id,clee,localidad,etapa_productiva_sugerida,decision_estudio_sugerida,flag_estudio_prioritario
6272576,21074313310000034103000000U4,Los Encinos,lavado_deslavado,incluir_prioritario,True
10416578,21074315229002972000000000U3,Santa Ana Xalmimilulco,confeccion_maquila,incluir_contexto_productivo,False
10122074,21074315229000271000000000U2,Santa Ana Xalmimilulco,confeccion_maquila,incluir_contexto_productivo,False
10328922,21074315229002573000000000U9,Santa Ana Xalmimilulco,confeccion_maquila,incluir_contexto_productivo,False
10516759,21074315229002271000000000U0,Santa Ana Xalmimilulco,confeccion_maquila,incluir_contexto_productivo,False
11521781,21074315229002362000000000U7,Santa Ana Xalmimilulco,confeccion_maquila,incluir_contexto_productivo,False
9804661,21074315229002591000000000U1,Santa Ana Xalmimilulco,confeccion_maquila,incluir_contexto_productivo,False
10687795,21074315229002672000000000U9,Santa Ana Xalmimilulco,confeccion_maquila,incluir_contexto_productivo,False
11467703,21074315229002382000000000U5,Santa Ana Xalmimilulco,confeccion_maquila,incluir_contexto_productivo,False
10541104,21074315229002441000000000U9,Santa Ana Xalmimilulco,confeccion_maquila,incluir_contexto_productivo,False
9650425,21074315229002291000000000U8,Santa Ana Xalmimilulco,confeccion_maquila,incluir_contexto_productivo,False
9877804,21074315229002611000000000U7,Santa Ana Xalmimilulco,confeccion_maquila,incluir_contexto_productivo,False
10029125,21074315229002351000000000U0,Santa Ana Xalmimilulco,confeccion_maquila,incluir_contexto_productivo,False
10500192,21074315229002261000000000U1,Santa Ana Xalmimilulco,confeccion_maquila,incluir_contexto_productivo,False
9800677,21074315229002321000000000U3,Santa Ana Xalmimilulco,confeccion_maquila,incluir_contexto_productivo,False
3428228,21074315229000811002000000U5,Santa Ana Xalmimilulco,fabricacion_mezclilla,validar_documentalmente,True
10275055,21074315223000151000000000U9,Santa Ana Xalmimilulco,revisar,mantener_pendiente,False
8089455,21074315229001911000000000U2,Santa Ana Xalmimilulco,confeccion_maquila,incluir_contexto_productivo,False
9627768,21074315229002511000000000U9,Santa Ana Xalmimilulco,confeccion_maquila,incluir_contexto_productivo,False
8777006,21074315229002152001000000U2,Santa Ana Xalmimilulco,confeccion_maquila,incluir_contexto_productivo,False
9706371,21074315229002251000000000U2,Santa Ana Xalmimilulco,confeccion_maquila,incluir_contexto_productivo,False
9834409,21074315229002603000000000U4,Santa Ana Xalmimilulco,confeccion_maquila,incluir_contexto_productivo,False
8089448,21074316991000021000000000U5,Santa Ana Xalmimilulco,confeccion_maquila,incluir_contexto_productivo,False
9629047,21074315229002721000000000U4,Santa Ana Xalmimilulco,confeccion_maquila,incluir_contexto_productivo,False
