escenario_id,metodo,eps_m,min_samples,n_establecimientos,n_clusters,n_ruido,pct_ruido,tam_min,tam_mediana,tam_media,tam_max,pct_cluster_mayor,min_cluster_size,cluster_selection_method,probabilidad_media,pct_probabilidad_ge_0_8,xi,min_cluster_size_frac,bbox_mediana_km,bbox_max_km,chaining_proxy_max,ari_mediana_mismo_metodo,ari_top5_mismo_metodo,ari_perturbacion_25m,puntaje_espacial,rol
dbscan__eps_m-250__min_samples-25,DBSCAN,250.0,25,4365,8,3565,81.67239404352806,27,61.5,100.0,252,5.77319587628866,,,,,,,1.0926931019671315,2.1123079591181146,0.1504773844302044,0.2824782465002792,0.5424361048099272,0.9520713371260703,0.7247765514275893,NO_SELECCIONADO
hdbscan__min_cluster_size-75__min_samples-5__cluster_selection_method-leaf,HDBSCAN,,5,4365,17,1944,44.53608247422681,75,127.0,142.41176470588235,340,7.789232531500573,75.0,leaf,0.9158823565124896,85.87360594795538,,,4.896766687532113,53.75158288347545,6.047525555782059,0.29414196778431584,0.5730619678145884,0.7780805762088224,0.7088587100326753,NO_SELECCIONADO
hdbscan__min_cluster_size-50__min_samples-10__cluster_selection_method-leaf,HDBSCAN,,10,4365,27,1823,41.764032073310425,50,93.0,94.14814814814817,211,4.833906071019473,50.0,leaf,0.9201841844431712,86.11329661683713,,,4.184679581149998,53.75158288347545,6.047525555782059,0.2787692682006392,0.5769475532257335,0.7214767187688551,0.7069408067686491,NO_SELECCIONADO
hdbscan__min_cluster_size-50__min_samples-5__cluster_selection_method-leaf,HDBSCAN,,5,4365,29,1697,38.8774341351661,53,78.0,92.0,223,5.108820160366552,50.0,leaf,0.9216029597844996,87.21889055472263,,,3.711907388272322,53.75158288347545,6.047525555782059,0.22299945104160648,0.5243582065452429,0.7097965690405598,0.6887666976126907,NO_SELECCIONADO
hdbscan__min_cluster_size-10__min_samples-5__cluster_selection_method-leaf,HDBSCAN,,5,4365,134,1435,32.87514318442153,10,18.0,21.86567164179105,78,1.7869415807560138,10.0,leaf,0.8824217585345129,74.81228668941979,,,1.3278640024881656,9.013915199904007,1.523629756592184,0.10782279686762969,0.43884200517003374,0.6239342401902462,0.6658259798949769,NO_SELECCIONADO
dbscan__eps_m-250__min_samples-5,DBSCAN,250.0,5,4365,149,1704,39.03780068728523,3,7.0,17.859060402684563,332,7.605956471935853,,,,,,,0.5464126486943117,3.0211627613416825,0.3843027571834248,0.2418786539741454,0.46348186142870446,0.85163892605776,0.655831882449218,NO_SELECCIONADO
optics__min_samples-20__xi-0p05__min_cluster_size_frac-0p01,OPTICS,,20,4365,21,2710,62.08476517754868,45,62.0,78.80952380952381,340,7.789232531500573,,,,,0.05,0.01,2.3710063712180625,53.75158288347545,6.047525555782059,0.5599610601991695,0.5599610601991695,,0.5274067651977037,NO_SELECCIONADO
optics__min_samples-30__xi-0p05__min_cluster_size_frac-0p01,OPTICS,,30,4365,18,2685,61.512027491408936,43,75.5,93.33333333333331,340,7.789232531500573,,,,,0.05,0.01,2.7178327000829823,53.75158288347545,6.047525555782059,0.531299874663941,0.531299874663941,,0.5168013975128218,NO_SELECCIONADO
optics__min_samples-10__xi-0p05__min_cluster_size_frac-0p01,OPTICS,,10,4365,28,2628,60.20618556701031,43,60.0,62.035714285714285,93,2.1305841924398625,,,,,0.05,0.01,2.4869041595049985,53.75158288347545,6.047525555782059,0.41497709069295957,0.41497709069295957,,0.4722310468110272,NO_SELECCIONADO
hdbscan__min_cluster_size-10__min_samples-20__cluster_selection_method-eom,HDBSCAN,,20,4365,22,584,13.379152348224514,14,46.5,171.86363636363637,1997,45.75028636884307,10.0,eom,0.9140475396707124,83.97249404919333,,,3.348419388973558,28.995137572681024,1.222164916836632,0.25289989462662205,0.9365642631532365,0.925520713345322,0.9627066191663075,PRINCIPAL
dbscan__eps_m-1600__min_samples-25,DBSCAN,1600.0,25,4365,13,329,7.5372279495990835,20,95.0,310.46153846153845,2178,49.896907216494846,,,,,,,3.764668162626869,33.821351535561504,0.9079971879923155,0.43519726865527647,0.9325568477326769,0.9955053255048867,0.92380901901846,REFERENCIA_DBSCAN
hdbscan__min_cluster_size-20__min_samples-20__cluster_selection_method-eom,HDBSCAN,,20,4365,21,598,13.699885452462771,20,48.0,179.38095238095238,1997,45.75028636884307,20.0,eom,0.9092836985746914,82.79798247942661,,,3.516283270139215,28.995137572681024,1.222164916836632,0.2557235101023448,0.9362757180275001,0.9255723154961609,0.962127272875792,SENSIBILIDAD
hdbscan__min_cluster_size-30__min_samples-20__cluster_selection_method-eom,HDBSCAN,,20,4365,18,646,14.799541809851087,30,72.5,206.61111111111111,1997,45.75028636884307,30.0,eom,0.9106616087660688,82.57596127991395,,,3.648346720134845,28.995137572681024,0.8357578759967788,0.2661300288141335,0.9327582967716161,0.9213327292924568,0.9620094330172407,SENSIBILIDAD
hdbscan__min_cluster_size-20__min_samples-10__cluster_selection_method-eom,HDBSCAN,,10,4365,24,450,10.309278350515465,20,43.5,163.125,2065,47.30813287514319,20.0,eom,0.9367155190149334,86.94763729246488,,,2.694213790900626,30.74674289011034,1.8371609630935775,0.2546098820258804,0.9275926584125667,0.9721834073556517,0.9569661772225478,SENSIBILIDAD
hdbscan__min_cluster_size-30__min_samples-10__cluster_selection_method-eom,HDBSCAN,,10,4365,20,440,10.080183276059564,30,68.5,196.25,2065,47.30813287514319,30.0,eom,0.9316182057293824,86.80254777070063,,,3.9567921093189127,30.74674289011034,1.8371609630935775,0.26032460726511825,0.9275611204148948,0.9732546592186807,0.9557511445341395,SENSIBILIDAD
